source_load,target_load,selected_epoch,test_acc,test_macro_f1,test_loss,train_samples,test_samples,elapsed_seconds_for_source_training
0,0,10,1.0,1.0,0.0030825308479189156,1568,664,12.507482051849365
0,1,10,0.9928469241773963,0.9928480204342274,0.01982540033593806,1568,699,12.507482051849365
0,2,10,0.93,0.9186783764295008,0.23148845769598017,1568,700,12.507482051849365
0,3,10,0.7874465049928673,0.7418310805900734,3.00248546772683,1568,701,12.507482051849365
1,0,3,0.9623493975903614,0.9612425676154086,0.11829476074332439,1649,664,10.81472659111023
1,1,3,1.0,1.0,0.010815228931792346,1649,699,10.81472659111023
1,2,3,0.9785714285714285,0.9780948172696309,0.07515004757126527,1649,700,10.81472659111023
1,3,3,0.7104136947218259,0.6610724658198308,1.8928844986729902,1649,701,10.81472659111023
2,0,2,0.9352409638554217,0.9333504402884607,0.19568471249237837,1649,664,10.784313678741455
2,1,2,0.9041487839771102,0.8758520283237378,0.40435978146309887,1649,699,10.784313678741455
2,2,2,1.0,1.0,0.004685974290062274,1649,700,10.784313678741455
2,3,2,0.8587731811697575,0.8406650769862505,0.5253982443386389,1649,701,10.784313678741455
3,0,4,0.7695783132530121,0.7075037620063132,1.271320388189528,1652,664,10.762792348861694
3,1,4,0.7997138769670958,0.731526008238337,1.3519166322189846,1652,699,10.762792348861694
3,2,4,0.8,0.7192295948786261,0.6991008669204478,1652,700,10.762792348861694
3,3,4,1.0,1.0,0.004590183098570639,1652,701,10.762792348861694
