model,train_ratio,num_seeds,train_samples,target_acc_mean,target_acc_std,target_macro_f1_mean,target_macro_f1_std,source_val_acc_mean,source_val_acc_std,source_val_macro_f1_mean,source_val_macro_f1_std,selected_epoch_mean,selected_epoch_std
CNN1D,0.1,3,472,0.7475035786628723,0.05757612735033035,0.7105906009674072,0.057735081762075424,0.9052667617797852,0.054873399436473846,0.8840286731719971,0.06768539547920227,10.0,0.0
CNN1D,0.3,3,1445,0.8621017336845398,0.03352605924010277,0.8272423148155212,0.03796873986721039,0.9842042922973633,0.0028416630811989307,0.9840138554573059,0.0027692257426679134,8.666666984558105,1.154700517654419
CNN1D,0.5,3,2423,0.8535425662994385,0.030070219188928604,0.817354142665863,0.039909329265356064,0.9917340278625488,0.01222965493798256,0.9916775822639465,0.012367308139801025,8.0,1.0
CNN1D,1.0,3,4866,0.8659058213233948,0.055598195642232895,0.8231131434440613,0.07476703822612762,0.9995062947273254,1.4488097804132849e-05,0.9995238184928894,7.300048565639372e-08,7.333333492279053,2.0816659927368164
CNN-BiLSTM-Attention,0.1,3,472,0.8297669887542725,0.03748101741075516,0.8138875365257263,0.03636965900659561,0.8984060287475586,0.02297257073223591,0.8896816372871399,0.03071489743888378,9.333333015441895,0.5773502588272095
CNN-BiLSTM-Attention,0.3,3,1445,0.9134569764137268,0.07440344244241714,0.900381326675415,0.08665181696414948,0.9786584973335266,0.002558605745434761,0.9788289666175842,0.002345747547224164,8.333333015441895,2.0816659927368164
CNN-BiLSTM-Attention,0.5,3,2423,0.9396100640296936,0.04516356810927391,0.9373051524162292,0.0477776937186718,0.9860370755195618,0.0039760032668709755,0.9861011505126953,0.003860721830278635,7.333333492279053,1.5275251865386963
CNN-BiLSTM-Attention,1.0,3,4866,0.9709938168525696,0.028147678822278976,0.9710001349449158,0.028043024241924286,0.9917423725128174,0.0019453195855021477,0.9918014407157898,0.0019798874855041504,9.333333015441895,1.154700517654419
MS-CNN-BiLSTM-Attention,0.1,3,472,0.6690441966056824,0.1120714321732521,0.6266058087348938,0.11712753772735596,0.7396789193153381,0.11689183115959167,0.6912418007850647,0.14244931936264038,9.666666984558105,0.5773502588272095
MS-CNN-BiLSTM-Attention,0.3,3,1445,0.8549690842628479,0.0687158927321434,0.8402087688446045,0.07012939453125,0.97947096824646,0.0009362907148897648,0.9797422289848328,0.0006619614432565868,8.0,1.0
MS-CNN-BiLSTM-Attention,0.5,3,2423,0.8844507336616516,0.09463624656200409,0.8687744736671448,0.10997425764799118,0.983210563659668,0.0020136882085353136,0.9834145903587341,0.001961700152605772,8.333333015441895,2.886751174926758
MS-CNN-BiLSTM-Attention,1.0,3,4866,0.9600570797920227,0.01887124963104725,0.9598968625068665,0.018817663192749023,0.9947206377983093,0.0011376345064491034,0.9949376583099365,0.0010931665310636163,9.0,1.7320507764816284
